PopID	IndID	Country	PCALabelID	AdmixtureLabelID	OrderAdmixture
Mozabite	HGDP01253	Algeria	Africa	Africa	1_Africa
Mozabite	HGDP01254	Algeria	Africa	Africa	1_Africa
Mozabite	HGDP01255	Algeria	Africa	Africa	1_Africa
Mozabite	HGDP01256	Algeria	Africa	Africa	1_Africa
Mozabite	HGDP01257	Algeria	Africa	Africa	1_Africa
Mozabite	HGDP01258	Algeria	Africa	Africa	1_Africa
Mozabite	HGDP01259	Algeria	Africa	Africa	1_Africa
Mozabite	HGDP01262	Algeria	Africa	Africa	1_Africa
Mozabite	HGDP01263	Algeria	Africa	Africa	1_Africa
Mozabite	HGDP01264	Algeria	Africa	Africa	1_Africa
Mozabite	HGDP01265	Algeria	Africa	Africa	1_Africa
Mozabite	HGDP01268	Algeria	Africa	Africa	1_Africa
Mozabite	HGDP01272	Algeria	Africa	Africa	1_Africa
Mozabite	HGDP01274	Algeria	Africa	Africa	1_Africa
Mozabite	HGDP01275	Algeria	Africa	Africa	1_Africa
Mozabite	HGDP01276	Algeria	Africa	Africa	1_Africa
Mozabite	HGDP01277	Algeria	Africa	Africa	1_Africa
Mozabite	HGDP01278	Algeria	Africa	Africa	1_Africa
Mozabite	HGDP01279	Algeria	Africa	Africa	1_Africa
Mozabite	HGDP01280	Algeria	Africa	Africa	1_Africa
Mozabite	HGDP01282	Algeria	Africa	Africa	1_Africa
BantuSA_Ovambo	HGDP01031	Angola	Africa	Africa	1_Africa
BantuSA	HGDP01030	Botswana	Africa	Africa	1_Africa
BantuSA	HGDP01034	Botswana	Africa	Africa	1_Africa
Biaka	HGDP00454	Central African Republic	Africa	Africa	1_Africa
Biaka	HGDP00455	Central African Republic	Africa	Africa	1_Africa
Biaka	HGDP00457	Central African Republic	Africa	Africa	1_Africa
Biaka	HGDP00458	Central African Republic	Africa	Africa	1_Africa
Biaka	HGDP00459	Central African Republic	Africa	Africa	1_Africa
Biaka	HGDP00460	Central African Republic	Africa	Africa	1_Africa
Biaka	HGDP00461	Central African Republic	Africa	Africa	1_Africa
Biaka	HGDP00464	Central African Republic	Africa	Africa	1_Africa
Biaka	HGDP00465	Central African Republic	Africa	Africa	1_Africa
Biaka	HGDP00466	Central African Republic	Africa	Africa	1_Africa
Biaka	HGDP00469	Central African Republic	Africa	Africa	1_Africa
Biaka	HGDP00470	Central African Republic	Africa	Africa	1_Africa
Biaka	HGDP00472	Central African Republic	Africa	Africa	1_Africa
Biaka	HGDP00473	Central African Republic	Africa	Africa	1_Africa
Biaka	HGDP00475	Central African Republic	Africa	Africa	1_Africa
Biaka	HGDP00985	Central African Republic	Africa	Africa	1_Africa
Biaka	HGDP00986	Central African Republic	Africa	Africa	1_Africa
Biaka	HGDP01086	Central African Republic	Africa	Africa	1_Africa
Biaka	HGDP01090	Central African Republic	Africa	Africa	1_Africa
Biaka	HGDP01094	Central African Republic	Africa	Africa	1_Africa
Mbuti	HGDP00449	Congo	Africa	Africa	1_Africa
Mbuti	HGDP00462	Congo	Africa	Africa	1_Africa
Mbuti	HGDP00463	Congo	Africa	Africa	1_Africa
Mbuti	HGDP00467	Congo	Africa	Africa	1_Africa
Mbuti	HGDP00474	Congo	Africa	Africa	1_Africa
Mbuti	HGDP00476	Congo	Africa	Africa	1_Africa
Mbuti	HGDP00478	Congo	Africa	Africa	1_Africa
Mbuti	HGDP00982	Congo	Africa	Africa	1_Africa
Mbuti	HGDP00984	Congo	Africa	Africa	1_Africa
Mbuti	HGDP01081	Congo	Africa	Africa	1_Africa
BantuKenya	HGDP01405	Kenya	Africa	Africa	1_Africa
BantuKenya	HGDP01408	Kenya	Africa	Africa	1_Africa
BantuKenya	HGDP01414	Kenya	Africa	Africa	1_Africa
BantuKenya	HGDP01417	Kenya	Africa	Africa	1_Africa
BantuKenya	HGDP01418	Kenya	Africa	Africa	1_Africa
BantuKenya	HGDP01419	Kenya	Africa	Africa	1_Africa
BantuSA	HGDP00994	Lesotho	Africa	Africa	1_Africa
Ju_hoan_North	HGDP00987	Namibia	Africa	Africa	1_Africa
Ju_hoan_North	HGDP00991	Namibia	Africa	Africa	1_Africa
Ju_hoan_North	HGDP00992	Namibia	Africa	Africa	1_Africa
Ju_hoan_North	HGDP01032	Namibia	Africa	Africa	1_Africa
Ju_hoan_North	HGDP01036	Namibia	Africa	Africa	1_Africa
Namibia_Bantu_Herero	HGDP01028	Namibia	Africa	Africa	1_Africa
Namibia_Bantu_Herero	HGDP01035	Namibia	Africa	Africa	1_Africa
Yoruba	HGDP00920	Nigeria	Africa	Africa	1_Africa
Yoruba	HGDP00924	Nigeria	Africa	Africa	1_Africa
Yoruba	HGDP00925	Nigeria	Africa	Africa	1_Africa
Yoruba	HGDP00926	Nigeria	Africa	Africa	1_Africa
